Time,Johnson Hall Electricity (kWh)
Mon Mar 09 2020 03:45:00 GMT-0700 (Pacific Daylight Time),40
Mon Mar 09 2020 03:30:00 GMT-0700 (Pacific Daylight Time),42
Mon Mar 09 2020 03:15:00 GMT-0700 (Pacific Daylight Time),41
Mon Mar 09 2020 03:00:00 GMT-0700 (Pacific Daylight Time),41
Mon Mar 09 2020 02:45:00 GMT-0700 (Pacific Daylight Time),42
Mon Mar 09 2020 02:30:00 GMT-0700 (Pacific Daylight Time),41
Mon Mar 09 2020 02:15:00 GMT-0700 (Pacific Daylight Time),42
Mon Mar 09 2020 02:00:00 GMT-0700 (Pacific Daylight Time),41
Mon Mar 09 2020 01:45:00 GMT-0700 (Pacific Daylight Time),42
Mon Mar 09 2020 01:30:00 GMT-0700 (Pacific Daylight Time),42
Mon Mar 09 2020 01:15:00 GMT-0700 (Pacific Daylight Time),41
Mon Mar 09 2020 01:00:00 GMT-0700 (Pacific Daylight Time),43
Mon Mar 09 2020 00:45:00 GMT-0700 (Pacific Daylight Time),43
Mon Mar 09 2020 00:30:00 GMT-0700 (Pacific Daylight Time),44
Mon Mar 09 2020 00:15:00 GMT-0700 (Pacific Daylight Time),45
Mon Mar 09 2020 00:00:00 GMT-0700 (Pacific Daylight Time),43
Sun Mar 08 2020 23:45:00 GMT-0700 (Pacific Daylight Time),44
Sun Mar 08 2020 23:30:00 GMT-0700 (Pacific Daylight Time),44
Sun Mar 08 2020 23:15:00 GMT-0700 (Pacific Daylight Time),45
Sun Mar 08 2020 23:00:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 22:45:00 GMT-0700 (Pacific Daylight Time),43
Sun Mar 08 2020 22:30:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 22:15:00 GMT-0700 (Pacific Daylight Time),43
Sun Mar 08 2020 22:00:00 GMT-0700 (Pacific Daylight Time),44
Sun Mar 08 2020 21:45:00 GMT-0700 (Pacific Daylight Time),44
